x,y,z
379259.5255364851,4699476.960412034,1.0
379262.38586351014,4699479.124450724,1.0
379259.4524582251,4699477.893912176,1.0
379258.03672100016,4699478.0618959805,1.0
379261.57058251713,4699478.164440316,1.0
379265.33155430167,4699478.280298667,1.0
379259.09740576614,4699476.244716345,1.0
379262.5344785922,4699481.39882093,1.0
379258.8875450934,4699478.19288898,1.0
379259.6743250101,4699480.120411468,1.0
379261.62523914094,4699477.898809154,1.0
379258.03719644685,4699479.886182577,1.0
379262.5904033891,4699478.638476644,1.0
379261.6860395275,4699477.288257815,1.0
379262.7633485509,4699476.869346684,1.0
379259.24439995206,4699476.939219619,1.0
379258.7938190866,4699477.546971782,1.0
379263.8848762264,4699477.083980699,1.0
379260.3948838583,4699478.775628305,1.0
379258.30798320886,4699476.996073227,1.0
379256.2750358595,4699478.009019279,1.0
379263.73844876274,4699477.862103469,1.0
379259.3204500672,4699478.080363914,1.0
379264.25737576355,4699478.770745191,1.0
379262.6107276137,4699479.26851954,1.0
379258.371369137,4699478.28127148,1.0
379258.3979487221,4699478.977857895,1.0
379264.09178984346,4699478.527968159,1.0
379262.77900850726,4699478.969780653,1.0
